ResNameCode,area [89],ave SJC inflow volume [1501],ave water temperature [121],bank storage [15],bypass release [1197],bypass release volume [1198],delta storage [47],evaporation [25],inflow [29],inflow volume [30],mod unregulated inflow [123],mod unregulated inflow volume [124],pool elevation [49],power release [39],power release volume [40],release volume [43],side inflow [31],side inflow volume [32],spillway release [46],storage [17],total release [42],unregulated inflow [33],unregulated inflow volume [34]
MOON LAKE [930],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
MORROW POINT [914],89.0,,,,1197.0,1198.0,47.0,25.0,29.0,30.0,,,49.0,39.0,40.0,43.0,31.0,32.0,46.0,17.0,42.0,33.0,34.0
MTELFBCO [100257],,,,,,,,,,,,,98.0,,,,,,,34.0,,,
NAMBE FALLS [2687],89.0,,,,,1198.0,47.0,25.0,,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
NAVAJO [920],89.0,,,,,,47.0,25.0,29.0,30.0,123.0,124.0,49.0,39.0,,43.0,,,,17.0,42.0,33.0,34.0
NEWTON [959],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
OLYDAMCO [100038],,,,,,,,,,,,,98.0,,,,,,,34.0,,,
PAONIA [945],89.0,,,,,,47.0,,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
PDMLC [923],,,121.0,,,,,,,,,,49.0,,,43.0,,,,17.0,42.0,,
PINEVIEW [946],89.0,,,,1197.0,1198.0,47.0,25.0,29.0,30.0,,,49.0,39.0,40.0,43.0,,,46.0,17.0,42.0,,
PINRESCO [100113],,,,,,,,,,,,,98.0,,,,,,,34.0,,,
PLATORO RESERVOIR [2688],,,,,,,,,29.0,,,,49.0,,,,,,,17.0,42.0,,
PUERESCO [100031],,,,,,,,,,,,,98.0,,,,,,,34.0,,,
RED FLEET [960],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
RIDGWAY [948],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
RIFLE GAP [961],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
ROCKPORT RESERVOIR [947],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
RUEDI RESERVOIR [2002],,,,,,,,25.0,29.0,,,,49.0,,,,,,,17.0,42.0,,
RUERESCO [100032],,,,,,,,,,,,,98.0,,,,,,,34.0,,,
SANTA ROSA  [2730],89.0,,,,,,47.0,25.0,29.0,,,,49.0,,,43.0,,,,17.0,42.0,,
SCOFIELD [931],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
SHADOW MOUNTAIN RESERVOIR [2003],,,,,,,,25.0,29.0,,,,49.0,,,,,,,17.0,42.0,,
SHARESCO [100049],,,,,,,,,,,,,98.0,,,,,,,34.0,,,
