"","DATETIME","SDI_1776","SDI_2091","SDI_1721","SDI_1874"
"88","04/01/1997 00:00",66571,NA,22917451.1719,19315.7803222
"89","05/01/1997 00:00",76845,NA,22910234.375,20096.3515822
"90","06/01/1997 00:00",93239,NA,23254031.25,16955.0900545
"91","07/01/1997 00:00",117401,NA,23426029.2969,17339.8589892
"92","08/01/1997 00:00",125306,NA,23577443.3594,17816.6816344
"93","09/01/1997 00:00",103688,NA,23768699.2188,15330.9290055
"94","10/01/1997 00:00",76346,NA,24342642.5781,8491.9925477
"95","11/01/1997 00:00",77435,NA,24822408.2031,11366.0157413
"96","12/01/1997 00:00",67473,NA,25104562.5,14415.5605442
"97","01/01/1998 00:00",55380,NA,25067603.5156,19964.514086
"98","02/01/1998 00:00",50706,NA,25013707.0312,21176.0505894
"99","03/01/1998 00:00",56836,NA,25046041.0156,19799.1528035
"100","04/01/1998 00:00",70478,NA,24813218.75,18834.259539
"101","05/01/1998 00:00",80775,NA,24637675.7812,18447.0272202
"102","06/01/1998 00:00",97363,NA,24672632.8125,16551.1052961
"103","07/01/1998 00:00",121907,NA,24765798.8281,18208.5236667
"104","08/01/1998 00:00",130162,NA,25052207.0312,15161.3789016
"105","09/01/1998 00:00",107692,NA,25126125,16346.3035301
"106","10/01/1998 00:00",78688,NA,25277800,11711.328804
"107","11/01/1998 00:00",78690,NA,25127666,15989.4350496
"108","12/01/1998 00:00",67457,NA,24781094,19908.734125
"109","01/01/1999 00:00",54991,NA,24836172,13848.007811
"110","02/01/1999 00:00",50000,NA,24898908,13195.9810586
"111","03/01/1999 00:00",56000,NA,24662000,16471.6679468
"112","04/01/1999 00:00",70000,NA,24216008,18268.6809911
"113","05/01/1999 00:00",79464,NA,24001500,19409.6459449
"114","06/01/1999 00:00",95484,NA,23856604,17708.8969808
"115","07/01/1999 00:00",119332,NA,23988004,15562.8127425
"116","08/01/1999 00:00",127402,NA,24206998,14651.5108423
"117","09/01/1999 00:00",105780,NA,24592086,11934.9625855
"118","10/01/1999 00:00",77592,NA,24716828,13940.5229282
"119","11/01/1999 00:00",77791,NA,24788732,15554.4606252
"120","12/01/1999 00:00",67357,NA,24996810,12136.7409294
"121","01/01/2000 00:00",55293,NA,25046042,12195.5200578
"122","02/01/2000 00:00",50671,NA,24973876,12907.0435875
"123","03/01/2000 00:00",56485,NA,24598154,16825.8603138
"124","04/01/2000 00:00",69524,NA,24213004,20632.3740468
"125","05/01/2000 00:00",79509,NA,24046506,20092.5956211
"126","06/01/2000 00:00",95088,NA,23514224,16184.3046748
"127","07/01/2000 00:00",116966,NA,22911676,16263.0066266
"128","08/01/2000 00:00",122334,NA,22435384,15045.1874797
"129","09/01/2000 00:00",100046,NA,22443956,9682.5394123
"130","10/01/2000 00:00",72891,NA,22435384,9545.9240691
"131","11/01/2000 00:00",72849,NA,22405344,13036.5853338
"132","12/01/2000 00:00",62777,NA,22358160,13970.529127
"133","01/01/2001 00:00",51453,NA,22522882,11193.8004347
"134","02/01/2001 00:00",47216,NA,22429660,13865.857666
"135","03/01/2001 00:00",52645,NA,22153886,15845.5825336
"136","04/01/2001 00:00",64622,NA,21602640,19107.5705078
"137","05/01/2001 00:00",73252,NA,21127152,16742.2177577
"138","06/01/2001 00:00",86881,NA,20557200,18140.6266927
"139","07/01/2001 00:00",106862,NA,20244744,16277.5478516
"140","08/01/2001 00:00",112650,NA,20137038,14435.5773374
"141","09/01/2001 00:00",92114,NA,19872756,11729.304834
"142","10/01/2001 00:00",66783,NA,19881934,8387.3894909
"143","11/01/2001 00:00",66658,NA,19775816,11211.4948568
"144","12/01/2001 00:00",57412,NA,19795468,12328.4735383
"145","01/01/2002 00:00",47060,NA,19870132,11411.8249433
"146","02/01/2002 00:00",43042,NA,19682000,14131.1893834
"147","03/01/2002 00:00",47536,NA,19112000,18647.7694582
"148","04/01/2002 00:00",57708,NA,18538760,18682.8670899
"149","05/01/2002 00:00",64723,NA,17915192,18941.5479461
"150","06/01/2002 00:00",76297,NA,17533000,17393.9784505
"151","07/01/2002 00:00",94021,NA,17342684,16388.0799049
"152","08/01/2002 00:00",99074,NA,17209000,15371.5248236
"153","09/01/2002 00:00",81063,NA,17093000,11162.6922038
"154","10/01/2002 00:00",58787,NA,17032352,8537.2398028
"155","11/01/2002 00:00",58409,NA,16850000,10506.3440104
"156","12/01/2002 00:00",49967,NA,16717691,11881.961473
"157","01/01/2003 00:00",40886,NA,16853616,10593.2003056
"158","02/01/2003 00:00",37743,NA,16978304,10947.7640904
"159","03/01/2003 00:00",42287,NA,16826256,15566.0326046
"160","04/01/2003 00:00",51621,NA,16286702,19122.0904948
"161","05/01/2003 00:00",58083,NA,15893446,16545.5328566
"162","06/01/2003 00:00",69211,NA,15732514,15164.6972027
"163","07/01/2003 00:00",85887,NA,15597586,15685.8599105
"164","08/01/2003 00:00",91275,NA,15741000,12097.6480752
"165","09/01/2003 00:00",75205,NA,15617840,9817.1917969
"166","10/01/2003 00:00",54487,NA,15517024,8759.2812185
"167","11/01/2003 00:00",54153,NA,15337398,10704.0416504
"168","12/01/2003 00:00",46517,NA,15299600,10135.3718876
"169","01/01/2004 00:00",38122.5685126888,NA,15433731,10296.7546781
"170","02/01/2004 00:00",35014.0609310983,NA,15403769,14005.0569774
"171","03/01/2004 00:00",39131.1665932341,NA,15255195,15378.6806641
"172","04/01/2004 00:00",48144.802975884,NA,14865938,17626.2465827
"173","05/01/2004 00:00",54445.6416209708,NA,14324000,18286.2211442
"174","06/01/2004 00:00",64638.0031999252,NA,14044000,16721.4180556
"175","07/01/2004 00:00",80114.664000004,NA,13924000,15490.4354838
"176","08/01/2004 00:00",85074.3155000434,NA,14018000,12415.1134266
"177","09/01/2004 00:00",70080.7660000554,NA,13937000,9543.0138889
"178","10/01/2004 00:00",51142.1778000051,NA,14094430,5932.718126
"179","11/01/2004 00:00",51610.3832999781,NA,14367260,8431.8083333
"180","12/01/2004 00:00",44770.6731999678,NA,14355020,10447.8037476
"181","01/01/2005 00:00",37193.2487999927,NA,15118600,5484.627418
"182","02/01/2005 00:00",35088.2284500192,NA,15739000,6148.0193452
"183","03/01/2005 00:00",40333.4594999671,NA,16219600,6954.2087848
"184","04/01/2005 00:00",50301.62100002,NA,15868600,17201.2402778
"185","05/01/2005 00:00",57084.6570000471,NA,15593340,16405.6595796
"186","06/01/2005 00:00",68207.7486080142,NA,15441220,15116.6333333
"187","07/01/2005 00:00",84707.0577600581,NA,15288050,15856.4704301
"188","08/01/2005 00:00",89866.0205000421,NA,15351050,12931.9018818
"189","09/01/2005 00:00",73909.4860000303,NA,15219160,10461.7157005
"190","10/01/2005 00:00",53563.2498000116,NA,15078040,10408.9704301
"191","11/01/2005 00:00",53224.431300003,NA,14896080,11347.55
"192","12/01/2005 00:00",45967.3631999487,NA,15131080,8612.2795698
"193","01/01/2006 00:00",37933.9668000073,NA,15335300,9671.3145161
"194","02/01/2006 00:00",35041.582950045,NA,15520200,10992.1860119
"195","03/01/2006 00:00",39290.6385499857,NA,15337400,13500.1451614
"196","04/01/2006 00:00",48316.8958000181,NA,14965760,16639.5027778
"197","05/01/2006 00:00",54719.1239000261,NA,14470420,17415.7043011
"198","06/01/2006 00:00",65019.1551999945,NA,14178260,17406.4152778
"199","07/01/2006 00:00",80462.1040000637,NA,13993000,15731.3776882
"200","08/01/2006 00:00",85176.6555000923,NA,14005000,13307.5994623
"201","09/01/2006 00:00",69985.9510000578,NA,13887000,10639.975
"202","10/01/2006 00:00",50944.8078000264,NA,13964000,9172.5228494
"203","11/01/2006 00:00",51084.0633000394,NA,14014000,8822.9569444
"204","12/01/2006 00:00",44260.7792000091,NA,14164120,10094.4489248
"205","01/01/2007 00:00",36439.372800002,NA,14308550,10384.8239248
"206","02/01/2007 00:00",33490.0269000141,NA,14288350,11646.6753364
"207","03/01/2007 00:00",37250.316099982,NA,13930000,15777.2258065
"208","04/01/2007 00:00",45454.7298000378,NA,13425930,18365.7111111
"209","05/01/2007 00:00",51272.0322550109,NA,12962550,16681.8723118
"210","06/01/2007 00:00",60987.9254399215,NA,12735000,16096.2522946
"211","07/01/2007 00:00",75560.30559998,NA,12553520,15452.4865591
"212","08/01/2007 00:00",80006.7625499884,NA,12577960,13056.7930107
"213","09/01/2007 00:00",65816.7055000089,NA,12504640,11020.7862923
"214","10/01/2007 00:00",47863.3656150006,NA,12494350,9266.2580645
"215","11/01/2007 00:00",47879.3306549998,NA,12519680,9680.9888889
"216","12/01/2007 00:00",41639.9497799721,NA,12859760,7750.8521506
"217","01/01/2008 00:00",34455.4343999853,NA,13017160,10930.748656
"218","02/01/2008 00:00",31724.0088000043,NA,13062280,11453.1091954
"219","03/01/2008 00:00",35507.8011,NA,12939750,16663.5591398
"220","04/01/2008 00:00",43561.7056,NA,12462730,19477.8194444
"221","05/01/2008 00:00",49214.7718,NA,12131600,18098.6706989
"222","06/01/2008 00:00",58606.2272,NA,11941180,15946.5708333
"223","07/01/2008 00:00",72810.816,NA,11890220,14248.3790323
"224","08/01/2008 00:00",77387.9695,NA,11954960,13081.5053763
"225","09/01/2008 00:00",63921.8370001,NA,12012920,10956.3236111
"226","10/01/2008 00:00",46887.0846,NA,12213480,8267.6008065
"227","11/01/2008 00:00",47061.6015,NA,12157360,11342.2666667
"228","12/01/2008 00:00",40921.8215999,NA,12496210,7374.4422043
"229","01/01/2009 00:00",33850.566,NA,12572320,12056.6626344
"230","02/01/2009 00:00",31057.4286001,NA,12539420,12227.3645833
"231","03/01/2009 00:00",34447.7918,NA,12163800,16857.3870968
"232","04/01/2009 00:00",41835.9512,NA,11604400,19732.8194444
"233","05/01/2009 00:00",47155.1282,NA,11216960,15895.6653226
"234","06/01/2009 00:00",56289.6128,NA,11070880,12597.0361111
"235","07/01/2009 00:00",70021.2,NA,10978400,13659.5577957
"236","08/01/2009 00:00",74193.8395001,NA,10937510,13031.1223118
"237","09/01/2009 00:00",61042.9330001,NA,10933160,9654.9305556
"238","10/01/2009 00:00",44436.0246,NA,10896620,9962.8051075
"239","11/01/2009 00:00",44423.0502,NA,10919240,10891.675
"240","12/01/2009 00:00",38534.5312,NA,11162400,10500.2943548
"241","01/01/2010 00:00",31917.2256,NA,11492800,10316.266321
"242","02/01/2010 00:00",29656.7667,NA,11780110,7210.0714286
"243","03/01/2010 00:00",33290.7167,NA,11550400,14463.2862903
"244","04/01/2010 00:00",40961.1968,NA,11313000,15679.4111111
"245","05/01/2010 00:00",46631.361,NA,10987100,15628.311828
"246","06/01/2010 00:00",55423.296,NA,10555800,16926.1027057
"247","07/01/2010 00:00",68347.544,NA,10357480,15300.7319329
"248","08/01/2010 00:00",72296.6819999,NA,10352440,13479.8010753
"249","09/01/2010 00:00",59186.736,NA,10092040,12746.6708333
"250","10/01/2010 00:00",42753.0603,NA,9970880,10369.3200269
"251","11/01/2010 00:00",42601.677,NA,9936080,13442.2583333
"252","12/01/2010 00:00",37029.8104,NA,10301200,10734.5416667
"253","01/01/2011 00:00",30857.1372,NA,10764510,8776.5658602
"254","02/01/2011 00:00",28780.8543,NA,11116640,11425.8945074
"255","03/01/2011 00:00",32539.6796,NA,11170320,16365.1370968
"256","04/01/2011 00:00",40453.2372,NA,11114880,18123.4187222
"257","05/01/2011 00:00",46742.0144,NA,11304100,16287.1881721
"258","06/01/2011 00:00",57168.4224,NA,11705200,15785.6680556
"259","07/01/2011 00:00",72858.3919999,NA,12133440,16287.4518807
"260","08/01/2011 00:00",79419.053,NA,12730300,13514.6344086
"261","09/01/2011 00:00",66748.269,NA,12976840,11256.4638889
"262","10/01/2011 00:00",49333.2792,NA,13456000,7212.5188172
"263","11/01/2011 00:00",50292.7524,NA,13933000,9481.9305556
"264","12/01/2011 00:00",44514.7736,NA,14643660,8077.8817204
"265","01/01/2012 00:00",37075.8096000189,NA,15022287.32,11592.9825269
"266","02/01/2012 00:00",34003.5828000323,NA,14906884.28,13481.9755747
"267","03/01/2012 00:00",37745.2613999725,NA,14534571.42,16037.0510753
"268","04/01/2012 00:00",45998.8637999902,NA,13986495.84,19657.6847222
"269","05/01/2012 00:00",51892.8141000128,NA,13541210.8,16399.9854461
"270","06/01/2012 00:00",61708.0063999864,NA,13199816.6,16622.9263889
"271","07/01/2012 00:00",76645.9200000246,NA,13207475.8,13685.6526798
"272","08/01/2012 00:00",81559.6759999631,NA,13268882.76,12982.094086
"273","09/01/2012 00:00",67059.789999955,NA,13134776.64,10676.2486111
"274","10/01/2012 00:00",48851.8493999546,NA,13263114,5619.4489247
"275","11/01/2012 00:00",49058.8787999688,NA,13334308.12,10931.7444444
"276","12/01/2012 00:00",42615.689599986,NA,13636479.56,7737.7849462
"277","01/01/2013 00:00",35186.5584000155,NA,13828021.6,9902.1115591
"278","02/01/2013 00:00",32363.0802000391,NA,13810367.2,11638.141369
"279","03/01/2013 00:00",36041.1708999849,NA,13464646.7,16053.2177419
"280","04/01/2013 00:00",44028.6837999945,NA,12920890.78,18538.1972222
"281","05/01/2013 00:00",49624.2073999937,NA,12494717.84,16371.6129032
"282","06/01/2013 00:00",58932.6079999726,NA,12275581.24,15926.3125
"283","07/01/2013 00:00",73230.1600000169,NA,12270094.96,14065.7486559
"284","08/01/2013 00:00",77836.0300000042,NA,12289327.88,13138.8185484
"285","09/01/2013 00:00",64256.639999982,NA,12361840.96,10061.3388889
"286","10/01/2013 00:00",46596.1193999868,NA,12098773.6,11917.9610215
"287","11/01/2013 00:00",46533.1445999967,NA,12310413.36,8627.2652778
"288","12/01/2013 00:00",40394.7367999645,NA,12344382.24,9074.5134409
"289","01/01/2014 00:00",33247.5804000056,NA,12530877,9847.0322581
"290","02/01/2014 00:00",30564.3459000495,NA,12455863.28,12911.8348214
"291","03/01/2014 00:00",33724.3899999899,NA,11888375.54,17723.4267181
"292","04/01/2014 00:00",40790.2562000071,NA,11253518,19053.025
"293","05/01/2014 00:00",45811.3178161,NA,10638802,17655.1951181
"294","06/01/2014 00:00",54064.4608,NA,10232606,16123.3013889
"295","07/01/2014 00:00",66673.8430968,NA,10060758,15333.4811828
"296","08/01/2014 00:00",70588.3204677,NA,10139821,11957.2137097
"297","09/01/2014 00:00",58284.793,NA,10121487,11524.7319445
"298","10/01/2014 00:00",42579.4082613,NA,10243500,7673.5416667
"299","11/01/2014 00:00",42804.55041,NA,10308989.2,11680.5486111
"300","12/01/2014 00:00",37255.2351742,NA,10667030.4,8019.8602151
"301","01/01/2015 00:00",30813.5101935,934893.94948,10728727.2,13539.1329423
"302","02/01/2015 00:00",28270.3090607,679147.35098,10769109.6,10806.6294643
"303","03/01/2015 00:00",31479.9488742,706294.14078,10418620.4,16816.219086
"304","04/01/2015 00:00",38412.00606,626410.14996,9930776,18269.9013889
"305","05/01/2015 00:00",43452.3358581,724023.02901,9728809.8,14163.686828
"306","06/01/2015 00:00",52038.3338667,816297.54664,9607485.6,14590.9402778
"307","07/01/2015 00:00",65221.8012903,1128277.6407,9858297,12479.7715054
"308","08/01/2015 00:00",69911.4251613,913563.15968,9871458.6,13055.7392473
