"","DATETIME","PowerRelease","TotalRelease","BypassRelease","SpillwayRelease"
"99","05/05/2024 02:00",5976.16,5976.16,0,0
"100","05/05/2024 03:00",6238.57,6238.57,0,0
"101","05/05/2024 04:00",6238.57,6238.57,0,0
"102","05/05/2024 05:00",6244.28,6244.28,0,0
"103","05/05/2024 06:00",7861.89,7861.89,0,0
"104","05/05/2024 07:00",7861.89,7861.89,0,0
"105","05/05/2024 08:00",8144.16,8144.16,0,0
"106","05/05/2024 09:00",8633.88,8633.88,0,0
"107","05/05/2024 10:00",8533.37,8533.37,0,0
"108","05/05/2024 11:00",8533.37,8533.37,0,0
"109","05/05/2024 12:00",8637.19,8637.19,0,0
"110","05/05/2024 13:00",10044.42,10044.42,0,0
"111","05/05/2024 14:00",10044.42,10044.42,0,0
"112","05/05/2024 15:00",10932.35,10932.35,0,0
"113","05/05/2024 16:00",10932.35,10932.35,0,0
"114","05/05/2024 17:00",10701.95,10701.95,0,0
"115","05/05/2024 18:00",11041.26,11041.26,0,0
"116","05/05/2024 19:00",11041.26,11041.26,0,0
"117","05/05/2024 20:00",11035.13,11035.13,0,0
"118","05/05/2024 21:00",10381.77,10381.77,0,0
"119","05/05/2024 22:00",8367,8367,0,0
"120","05/05/2024 23:00",8419.16,8419.16,0,0
"121","05/06/2024 00:00",7232.06,7232.06,0,0
"122","05/06/2024 01:00",7232.06,7232.06,0,0
"123","05/06/2024 02:00",7013.54,7013.54,0,0
"124","05/06/2024 03:00",7201.79,7201.79,0,0
"125","05/06/2024 04:00",7201.79,7201.79,0,0
"126","05/06/2024 05:00",8699.37,8699.37,0,0
"127","05/06/2024 06:00",9722.14,9722.14,0,0
"128","05/06/2024 07:00",9722.14,9722.14,0,0
"129","05/06/2024 08:00",10514.91,10514.91,0,0
"130","05/06/2024 09:00",10514.91,10514.91,0,0
"131","05/06/2024 10:00",10623.01,10623.01,0,0
"132","05/06/2024 11:00",10623.01,10623.01,0,0
"133","05/06/2024 12:00",10751.94,10751.94,0,0
"134","05/06/2024 13:00",10751.94,10751.94,0,0
"135","05/06/2024 14:00",11387.52,11387.52,0,0
"136","05/06/2024 15:00",12150.09,12150.09,0,0
"137","05/06/2024 16:00",12150.09,12150.09,0,0
"138","05/06/2024 17:00",12164.8,12164.8,0,0
"139","05/06/2024 18:00",12182.96,12182.96,0,0
"140","05/06/2024 19:00",12182.96,12182.96,0,0
"141","05/06/2024 20:00",12181.32,12181.32,0,0
"142","05/06/2024 21:00",12118.65,12118.65,0,0
"143","05/06/2024 22:00",10498,10498,0,0
"144","05/06/2024 23:00",7954.42,7954.42,0,0
"145","05/07/2024 00:00",7354.33,7354.33,0,0
"146","05/07/2024 01:00",7354.33,7354.33,0,0
"147","05/07/2024 02:00",7322.69,7322.69,0,0
"148","05/07/2024 03:00",7297.48,7297.48,0,0
"149","05/07/2024 04:00",7297.48,7297.48,0,0
