,2017,,Pre 2017,,Difference,
 ELEVATION (feet) , Active Storage (million acre-feet) , Area (acres) , Active Storage (million acre-feet) , Area (acres) ,Volume (million acre-feet),Area (acres)
3439, 1.8 ," 32,601 ", 1.9 ," 34,466 ", 0.1 ," 1,866 "
3440, 1.8 ," 32,818 ", 1.9 ," 34,699 ", 0.1 ," 1,881 "
3441, 1.8 ," 33,058 ", 1.9 ," 34,982 ", 0.1 ," 1,925 "
3442, 1.9 ," 33,292 ", 2.0 ," 35,265 ", 0.1 ," 1,973 "
3443, 1.9 ," 33,514 ", 2.0 ," 35,548 ", 0.1 ," 2,034 "
3444, 1.9 ," 33,741 ", 2.0 ," 35,831 ", 0.1 ," 2,090 "
3445, 2.0 ," 33,974 ", 2.1 ," 36,115 ", 0.1 ," 2,140 "
3446, 2.0 ," 34,216 ", 2.1 ," 36,398 ", 0.1 ," 2,182 "
3447, 2.0 ," 34,495 ", 2.2 ," 36,681 ", 0.1 ," 2,186 "
3448, 2.1 ," 34,744 ", 2.2 ," 36,964 ", 0.1 ," 2,220 "
3449, 2.1 ," 34,981 ", 2.2 ," 37,247 ", 0.1 ," 2,266 "
3450, 2.1 ," 35,206 ", 2.3 ," 37,530 ", 0.1 ," 2,324 "
3451, 2.2 ," 35,437 ", 2.3 ," 37,813 ", 0.1 ," 2,377 "
3452, 2.2 ," 35,686 ", 2.3 ," 38,096 ", 0.1 ," 2,410 "
3453, 2.2 ," 35,951 ", 2.4 ," 38,379 ", 0.1 ," 2,428 "
3454, 2.3 ," 36,210 ", 2.4 ," 38,662 ", 0.1 ," 2,453 "
3455, 2.3 ," 36,462 ", 2.5 ," 38,946 ", 0.1 ," 2,484 "
3456, 2.3 ," 36,706 ", 2.5 ," 39,229 ", 0.1 ," 2,523 "
3457, 2.4 ," 36,965 ", 2.5 ," 39,512 ", 0.2 ," 2,547 "
3458, 2.4 ," 37,243 ", 2.6 ," 39,795 ", 0.2 ," 2,552 "
3459, 2.5 ," 37,497 ", 2.6 ," 40,078 ", 0.2 ," 2,581 "
3460, 2.5 ," 37,763 ", 2.7 ," 40,361 ", 0.2 ," 2,598 "
3461, 2.5 ," 38,024 ", 2.7 ," 40,657 ", 0.2 ," 2,633 "
3462, 2.6 ," 38,270 ", 2.7 ," 40,952 ", 0.2 ," 2,683 "
3463, 2.6 ," 38,533 ", 2.8 ," 41,248 ", 0.2 ," 2,715 "
3464, 2.6 ," 38,781 ", 2.8 ," 41,544 ", 0.2 ," 2,763 "
3465, 2.7 ," 39,035 ", 2.9 ," 41,840 ", 0.2 ," 2,805 "
3466, 2.7 ," 39,286 ", 2.9 ," 42,135 ", 0.2 ," 2,849 "
3467, 2.8 ," 39,537 ", 2.9 ," 42,431 ", 0.2 ," 2,894 "
3468, 2.8 ," 39,786 ", 3.0 ," 42,727 ", 0.2 ," 2,940 "
3469, 2.8 ," 40,042 ", 3.0 ," 43,022 ", 0.2 ," 2,980 "
3470, 2.9 ," 40,287 ", 3.1 ," 43,318 ", 0.2 ," 3,031 "
3471, 2.9 ," 40,532 ", 3.1 ," 43,614 ", 0.2 ," 3,082 "
3472, 3.0 ," 40,787 ", 3.2 ," 43,909 ", 0.2 ," 3,123 "
3473, 3.0 ," 41,049 ", 3.2 ," 44,205 ", 0.2 ," 3,156 "
3474, 3.0 ," 41,317 ", 3.2 ," 44,501 ", 0.2 ," 3,184 "
3475, 3.1 ," 41,600 ", 3.3 ," 44,797 ", 0.2 ," 3,196 "
3476, 3.1 ," 41,864 ", 3.3 ," 45,092 ", 0.2 ," 3,228 "
