,2017,,Pre 2017,,Difference,
 ELEVATION (feet) , Active Storage (million acre-feet) , Area (acres) , Active Storage (million acre-feet) , Area (acres) ,Volume (million acre-feet),Area (acres)
3669, 18.8 ," 135,358 ", 19.7 ," 137,536 ", 0.9 ," 2,177 "
3670, 18.9 ," 136,026 ", 19.8 ," 138,273 ", 0.9 ," 2,247 "
3671, 19.0 ," 136,724 ", 20.0 ," 139,010 ", 0.9 ," 2,286 "
3672, 19.2 ," 137,440 ", 20.1 ," 139,748 ", 0.9 ," 2,308 "
3673, 19.3 ," 138,119 ", 20.3 ," 140,485 ", 0.9 ," 2,366 "
3674, 19.4 ," 138,808 ", 20.4 ," 141,223 ", 0.9 ," 2,415 "
3675, 19.6 ," 139,559 ", 20.5 ," 141,960 ", 1.0 ," 2,401 "
3676, 19.7 ," 140,319 ", 20.7 ," 142,697 ", 1.0 ," 2,379 "
3677, 19.9 ," 141,083 ", 20.8 ," 143,435 ", 1.0 ," 2,352 "
3678, 20.0 ," 141,790 ", 21.0 ," 144,172 ", 1.0 ," 2,382 "
3679, 20.2 ," 142,505 ", 21.1 ," 144,910 ", 1.0 ," 2,405 "
3680, 20.3 ," 143,269 ", 21.3 ," 145,647 ", 1.0 ," 2,378 "
3681, 20.4 ," 144,048 ", 21.4 ," 146,404 ", 1.0 ," 2,356 "
3682, 20.6 ," 144,819 ", 21.6 ," 147,161 ", 1.0 ," 2,341 "
3683, 20.7 ," 145,566 ", 21.7 ," 147,918 ", 1.0 ," 2,351 "
3684, 20.9 ," 146,311 ", 21.8 ," 148,674 ", 1.0 ," 2,363 "
3685, 21.0 ," 147,103 ", 22.0 ," 149,431 ", 1.0 ," 2,328 "
3686, 21.2 ," 147,928 ", 22.1 ," 150,188 ", 1.0 ," 2,260 "
3687, 21.3 ," 148,713 ", 22.3 ," 150,945 ", 1.0 ," 2,232 "
3688, 21.5 ," 149,471 ", 22.4 ," 151,702 ", 1.0 ," 2,231 "
3689, 21.6 ," 150,241 ", 22.6 ," 152,459 ", 1.0 ," 2,217 "
3690, 21.8 ," 151,022 ", 22.8 ," 153,216 ", 1.0 ," 2,193 "
3691, 21.9 ," 151,779 ", 22.9 ," 153,972 ", 1.0 ," 2,193 "
3692, 22.1 ," 152,559 ", 23.1 ," 154,729 ", 1.0 ," 2,171 "
3693, 22.2 ," 153,323 ", 23.2 ," 155,486 ", 1.0 ," 2,163 "
3694, 22.4 ," 154,063 ", 23.4 ," 156,243 ", 1.0 ," 2,180 "
3695, 22.5 ," 154,778 ", 23.5 ," 157,000 ", 1.0 ," 2,222 "
3696, 22.7 ," 155,489 ", 23.7 ," 157,757 ", 1.0 ," 2,267 "
3697, 22.8 ," 156,170 ", 23.8 ," 158,513 ", 1.0 ," 2,344 "
3698, 23.0 ," 156,857 ", 24.0 ," 159,270 ", 1.0 ," 2,413 "
3699, 23.2 ," 157,543 ", 24.2 ," 160,027 ", 1.0 ," 2,484 "
3700, 23.3 ," 158,234 ", 24.3 ," 160,784 ", 1.0 ," 2,550 "
3701, 23.5 ," 158,921 ", 24.5 ," 161,598 ", 1.0 ," 2,677 "
3702, 23.6 ," 159,599 ", 24.6 ," 162,413 ", 1.0 ," 2,813 "
3703, 23.8 ," 160,272 ", 24.8 ," 163,227 ", 1.0 ," 2,955 "
3704, 24.0 ," 160,973 ", 25.0 ," 164,041 ", 1.0 ," 3,068 "
3705, 24.1 ," 161,689 ", 25.1 ," 164,855 ", 1.0 ," 3,166 "
3706, 24.3 ," 162,406 ", 25.3 ," 165,670 ", 1.0 ," 3,263 "
3707, 24.4 ," 163,122 ", 25.5 ," 166,484 ", 1.0 ," 3,362 "
3708, 24.6 ," 163,829 ", 25.6 ," 167,298 ", 1.0 ," 3,469 "
3709, 24.8 ," 164,523 ", 25.8 ," 168,112 ", 1.0 ," 3,589 "
3710, 24.9 ," 165,218 ", 26.0 ," 168,927 ", 1.0 ," 3,708 "
