Date,Elevation (feet),Storage (af),Evaporation (af),Inflow** (cfs),Unregulated Inflow*** (cfs),Power Release (cfs),Bypass Release (cfs),Spillway Release (cfs),Total Release (cfs),
01-Oct-1962, , ,0, , , , , , , ,
01-Nov-1962, , ,0, , , , , , , ,
01-Dec-1962, , ,0, , , , , , , ,
01-Jan-1963, , ,0, , , , , , , ,
01-Feb-1963, , ,0, , , , , , , ,
01-Mar-1963, , ,0, , , , , , , ,
01-Apr-1963, , ,0,7746, , , , ,1017, ,
01-May-1963, , ,0,15222, , , , ,1011, ,
01-Jun-1963, ,7400,0,13176, , , , ,2360, ,
01-Jul-1963, ,49400,0,2888,5400, , , ,1458, ,
01-Aug-1963, ,246400,0,4453,5227, , , ,1006, ,
01-Sep-1963, ,536400,0,6313,7496, , , ,1007, ,
01-Oct-1963, ,644400,0,3290,4080, , , ,1000, ,
01-Nov-1963, ,829400,0,4786,5205, , , ,1001, ,
01-Dec-1963,3409.60,969900,533,4023,3670, , , ,1020, ,
01-Jan-1964,3414.60,1112200,769,4172,3540,0, , ,1154, ,
01-Feb-1964,3414.80,1118000,743,4492,4016,0, , ,4009, ,
01-Mar-1964,3410.80,1003500,1467,4585,4568,0, , ,6316, ,
01-Apr-1964,3398.20,663700,2200,6991,8811,0, , ,12950, ,
01-May-1964,3434.70,1738100,2333,22849,26691,0, , ,5186, ,
01-Jun-1964,3471.98,3174100,10350,27788,34979,0, , ,1002, ,
01-Jul-1964,3484.15,3730300,17288,12562,15628,0, , ,978, ,
01-Aug-1964,3490.28,4027400,19447,9116,8947,0, , ,2836, ,
01-Sep-1964,3491.69,4097300,18649,5178,3667,2371, , ,2631, ,
01-Oct-1964,3491.91,4108300,13057,5838,3432,4330, , ,4367, ,
01-Nov-1964,3491.47,4086300,13146,6699,4838,6092, , ,5840, ,
01-Dec-1964,3491.94,4109600,10561,7871,5606,6466, , ,6466, ,
01-Jan-1965,3491.41,4083200,2814,9386,5933,9199, , ,9079, ,
01-Feb-1965,3491.91,4108000,2932,10232,6414,8221, , ,9266, ,
01-Mar-1965,3491.88,4106500,5175,9438,6691,7241, , ,9046, ,
01-Apr-1965,3490.91,4058200,8529,19312,19862,7949, , ,20540, ,
01-May-1965,3491.82,4103400,9815,37806,44948,9284, , ,37139, ,
01-Jun-1965,3510.85,5110900,17039,56704,71625,12531, , ,39047, ,
01-Jul-1965,3530.91,6312100,26771,35174,47799,11127, , ,11826, ,
01-Aug-1965,3531.34,6339400,29429,15968,18999,12256, , ,14162, ,
01-Sep-1965,3530.12,6261800,26792,12529,12702,12402, , ,12612, ,
01-Oct-1965,3531.57,6354000,18774,13426,13332,11651, , ,10721, ,
01-Nov-1965,3532.56,6417500,18609,12207,10442,10938, , ,9904, ,
01-Dec-1965,3534.63,6551400,15192,11973,8995,9712, , ,8638, ,
01-Jan-1966,3535.21,6589200,4478,9028,7068,8621, , ,7338, ,
01-Feb-1966,3534.34,6532400,4717,8299,6793,9913, , ,8700, ,
01-Mar-1966,3536.73,6688800,8210,13314,14410,11255, , ,10112, ,
01-Apr-1966,3538.98,6838100,13686,16848,18747,13963, , ,13870, ,
01-May-1966,3544.57,7218100,16512,23186,28755,16019, , ,15900, ,
01-Jun-1966,3544.91,7241600,26897,14988,19716,12729, , ,12672, ,
01-Jul-1966,3540.01,6907000,31762,6626,7076,11028, , ,10694, ,
01-Aug-1966,3534.00,6510000,30443,5349,4311,10872, , ,11090, ,
01-Sep-1966,3529.46,6219300,27302,6203,4038,10340, , ,10460, ,
01-Oct-1966,3527.12,6072600,18289,7398,5081,8654, , ,8975, ,
01-Nov-1966,3523.57,5854100,17688,6767,5579,9483, , ,9807, ,
01-Dec-1966,3521.45,5725900,13927,6883,6095,8323, , ,8597, ,
01-Jan-1967,3517.39,5485100,3787,6416,4694,9200, , ,9991, ,
01-Feb-1967,3515.15,5354800,3897,7184,5799,9137, , ,9622, ,
01-Mar-1967,3512.50,5202900,6621,8728,8613,10504, , ,11224, ,
01-Apr-1967,3507.32,4913300,10365,8263,8672,14584, , ,13239, ,
01-May-1967,3509.10,5011700,11331,16401,19821,14575, , ,14290, ,
01-Jun-1967,3529.15,6199200,21352,38656,49316,12379, , ,11735, ,
01-Jul-1967,3532.53,6414400,28931,15003,23089,10225, , ,10427, ,
