"","Elevation (ft)","Live Storage (ac-ft)","Total Storage (ac-ft)","Area (acres)","EvapVolMax","EvapVolMaxUp","EvapVolMaxLo","EvapVolMin","RangeError","Range"
"607",3673,20256592.3,22151592.3,140485.2,804980.196,913153.8,688377.48,792851.812200002,0.326530612244898,0.11238816
"608",3673.5,20326927.07,22221927.07,140853.9,807092.847,915550.35,690184.11,794964.457800001,0.326530612244898,0.11268312
"609",3674,20397446.2,22292446.2,141222.6,809205.498,917946.9,691990.74,797077.1142,0.326530612244898,0.11297808
"610",3674.5,20468149.67,22363149.67,141591.3,811318.149,920343.45,693797.37,799189.759800006,0.326530612244898,0.11327304
"611",3675,20539037.5,22434037.5,141960,813430.8,922740,695604,801302.416200001,0.326530612244898,0.113568
"612",3675.5,20610109.67,22505109.67,142328.7,815543.451,925136.55,697410.63,803415.061800003,0.326530612244898,0.11386296
"613",3676,20681366.2,22576366.2,142697.4,817656.102,927533.1,699217.26,805527.718200002,0.326530612244898,0.11415792
"614",3676.5,20752807.07,22647807.07,143066.1,819768.753,929929.65,701023.89,807640.363800004,0.326530612244898,0.11445288
"615",3677,20824432.3,22719432.3,143434.8,821881.404,932326.2,702830.52,809753.020200003,0.326530612244898,0.11474784
"616",3677.5,20896241.87,22791241.87,143803.5,823994.055,934722.75,704637.15,811865.665800001,0.326530612244898,0.1150428
"617",3678,20968235.8,22863235.8,144172.2,826106.706,937119.3,706443.78,813978.322200004,0.326530612244898,0.11533776
"618",3678.5,21040414.07,22935414.07,144540.9,828219.357,939515.85,708250.41,816090.967800003,0.326530612244898,0.11563272
"619",3679,21112776.7,23007776.7,144909.6,830332.008,941912.4,710057.04,818203.624200001,0.326530612244898,0.11592768
"620",3679.5,21185323.67,23080323.67,145278.3,832444.659,944308.95,711863.67,820316.269800004,0.326530612244898,0.11622264
"621",3680,21258055,23153055,145647,834557.31,946705.5,713670.3,822428.926200002,0.326530612244898,0.1165176
"622",3680.5,21330973.11,23225973.11,146025.42,836725.6566,949165.23,715524.558,824544.011800002,0.326530612244898,0.116820336
"623",3681,21404080.42,23299080.42,146403.85,838894.0605,951625.025,717378.865,826663.948200002,0.326530612244898,0.11712308
"624",3681.5,21477376.96,23372376.96,146782.27,841062.4071,954084.755,719233.123,828788.763800003,0.326530612244898,0.117425816
"625",3682,21550862.7,23445862.7,147160.7,843230.811,956544.55,721087.43,830918.430200003,0.326530612244898,0.11772856
"626",3682.5,21624537.66,23519537.66,147539.12,845399.1576,959004.28,722941.688,833052.965800002,0.326530612244898,0.118031296
"627",3683,21698401.82,23593401.82,147917.55,847567.5615,961464.075,724795.995,835192.352200001,0.326530612244898,0.11833404
"628",3683.5,21772455.21,23667455.21,148295.97,849735.9081,963923.805,726650.253,837336.617800001,0.326530612244898,0.118636776
